image,name,categories,year,acquisition_type,trip,is_favorite,texture,notes
pin_015.png,Bronx Zoo Gorilla ,NYC,2025,bought,Bronx Zoo Trip 2025,FALSE,standard,
pin_010.png,Metrocard ,NYC,2025,bought,,TRUE,standard,from when canal st market was closing :(
pin_013.png,New York Botanical Gardens,NYC,2024,bought,,FALSE,standard,Break Through Tech final celebration <3 
pin_016.png,NYC,NYC,2025,bought ,,FALSE,standard,classic but i have no memory of buying it 
pin_012.png,New York Flag ,NYC,2024,bought ,,FALSE,standard,
pin_017.png,Brookyln ,NYC,2025,bought,,FALSE,standard,bought this after an excellent day in brooklyn 
pin_024.png,Bryant Park Taxi,NYC,2026,bought,,FALSE,standard,anais and i date around nyc 
pin_019.png,New York Loves Pidgeons,NYC,2025,bought ,,FALSE,standard,
pin_020.png,Lotus Flower ,NYC,2025,bought ,Met ,FALSE,standard,
pin_021.png,Starry Night ,NYC,2024,bought ,Met ,FALSE,standard,
pin_022.png,Tile Art ,NYC,2024,bought ,Met ,FALSE,standard,
pin_023.png,Met Museum ,NYC,2025,bought ,Met ,FALSE,standard,
pin_014.png,NYC Coffee Cup,NYC,2025,bought ,,FALSE,bubble,classic chai cup
pin_038.png,Chip City ,NYC,2026,bought ,,FALSE,standard,chip city has halal marshmellow fluff! the more you know :) 
pin_018.png,TImeliner Escape Room ,NYC,2024,bought ,,FALSE,standard,sga retreat <3 
pin_001.png,Gong Cha 2023 ,Bubble Tea|NYC,2023,gifted,National Boba Day,FALSE,standard,gift from gianna 
pin_026.png,Gong Cha 2024,Bubble Tea|NYC,2024,bought ,National Boba Day,FALSE,standard,post encampment trauma bond 
pin_025.png,Gong Cha 2025 ,Bubble Tea|NYC,2025,bought ,National Boba Day,TRUE,standard,ellie and i had the best time coming here pre graduation 
pin_027.png,Certified Boba Lover ,Bubble Tea,2024,bought ,,FALSE,standard,
pin_028.png,Fox Drinking Bubble Tea ,Bubble Tea,2025,gifted,,FALSE,standard,gift from gianna <3 
pin_043.png,Pooh Drinking Bubble Tea ,Bubble Tea|Travel,2023,bought ,Hawaii,FALSE,standard,
pin_042.png,Stitch Drinking Bubble Tea ,Bubble Tea|Travel,2023,bought ,Hawaii,FALSE,standard,
pin_008.png,Kirby Drinking Bubble Tea ,Bubble Tea|Anime ,2024,bought ,,TRUE,standard,
pin_044.png,Nezuko Drinking Bubble Tea,Bubble Tea|Anime ,2025,bought ,,TRUE,standard,
pin_029.png,HackCon 2020 ,Technology,2020,free,HackCon 2020,FALSE,standard,never got to go but got the merch <3 
pin_031.png,Duck with Sunglasses ,Technology,2020,free,HackCon 2021,FALSE,standard,
pin_030.png,Duck on Bench,Technology,2020,free,HackCon 2020,FALSE,standard,
pin_011.png,MLH Hackathon Winner ,Technology,2021,free,,FALSE,standard,
pin_032.png,NVIDIA,Technology,2024,free,Grace Hopper 2024 ,FALSE,standard,
pin_033.png,Figma ,Technology,2024,free,,FALSE,standard,thank you gianna!!
pin_034.png,AWS Unicorn ,Technology,2023,free,,FALSE,standard,
pin_035.png,MongoDB Love Your Developers,Technology,2024,free,,FALSE,bubble,
pin_039.png,My Bad ,Technology,2024,free,,FALSE,standard,
pin_037.png,Flawless,Technology,2024,free,,FALSE,standard,
pin_041.png,Grace Hopper ,Technology,2024,free,Grace Hopper 2024 ,FALSE,standard,
pin_036.png,Divhacks 2023,Technology,2023,free,,FALSE,standard,
pin_040.png,Matilda,Books,2024,bought,,FALSE,standard,
pin_006.png,Snoopy,Miscellaneous,2023,bought,,TRUE,standard,i have no memory of buying this but i am glad i own it
pin_002.png,Girl at Computer Going Crazy,Miscellaneous,2024,bought,,FALSE,standard,i bought this at kinokuniya by bryant part... my og safe place in nyc 
pin_005.png,Let Gaza Live ,Palestine,2025,bought,,TRUE,standard,from MomaPS1 book festival!
pin_003.png,Hidden Leaf Headband,Anime,2024,bought,Japan 2023,FALSE,standard,
pin_004.png,Millie ,NYC,2024,bought,,FALSE,standard,this is the second one i've bought because the first one broke #L
pin_007.png,Hello Kitty Strawhats ,Anime,2024,bought,,TRUE,standard,
pin_009.png,Kid Link,Nintendo,2024,bought,,FALSE,standard,japanfes buy.. worth it 